epoch,train_loss,test_acc@1,test_acc@5
1,6.250008283202181,32.81,84.37
2,6.024139655005071,34.32,84.78
3,5.940231677183171,37.519999999999996,87.42
4,5.8743157681730604,39.54,88.77000000000001
5,5.833937438492923,41.9,90.05
6,5.796794935600045,43.88,91.32000000000001
7,5.773434363689619,44.879999999999995,91.56
8,5.751679081277749,45.75,91.96
9,5.736839584468567,45.79,92.08
10,5.720591461535582,47.61,92.58999999999999
11,5.7041511142376775,47.92,92.92
12,5.699977034146023,49.64,93.47999999999999
13,5.687607986410868,50.81,93.93
14,5.67871925511311,51.0,94.0
15,5.669641057240594,50.22,93.97
16,5.664094118727851,52.22,94.23
17,5.657979085273349,53.09,94.62
18,5.648597004487343,53.05,94.58
19,5.641714405767696,52.51,95.08
20,5.639196705572384,52.87,94.89999999999999
21,5.636071126485608,53.669999999999995,94.73
22,5.6334016790095065,54.790000000000006,94.89999999999999
23,5.626232157048491,55.25,95.71
24,5.620136226575399,55.76,95.27
25,5.616353393829975,56.67,95.64
26,5.613365158592303,55.84,95.52000000000001
27,5.608245131895714,56.63,95.62
28,5.6041077387701606,56.39999999999999,95.86
29,5.60124214408324,57.79,96.12
30,5.595548639592436,57.21000000000001,95.88
31,5.591696690038307,58.540000000000006,95.94
32,5.588322093806316,58.209999999999994,96.12
33,5.586589906633515,59.489999999999995,96.17999999999999
34,5.581374428935887,59.74,96.39
35,5.577293464817951,59.53000000000001,96.2
36,5.5740485338820625,61.480000000000004,96.66
37,5.566367173932262,60.870000000000005,96.41
38,5.568784600680637,60.36,96.38
39,5.570082005766249,61.07,96.39999999999999
40,5.55942394315582,61.61,96.63000000000001
41,5.563137860642266,62.27,96.55
42,5.560114683564176,62.22,96.46000000000001
43,5.5511592048959635,63.160000000000004,96.87
44,5.549539895401788,63.49,96.6
45,5.552588959330136,63.160000000000004,96.73
46,5.548596726250403,64.78,96.87
47,5.55055686616406,64.95,97.0
48,5.543247439197658,63.73,96.67
49,5.54314610392777,64.52,96.67999999999999
50,5.539201598806479,64.5,96.85000000000001
51,5.53947735815933,65.35,97.13000000000001
52,5.535330782231596,65.34,97.06
53,5.529842553679476,65.41,97.22
54,5.532302674558974,66.32000000000001,97.31
55,5.533449045161611,66.73,96.98
56,5.528056125050967,66.09,96.96000000000001
57,5.52800596866411,66.34,97.14
58,5.525866164374597,66.42,97.11999999999999
59,5.524006587942851,66.34,97.11999999999999
60,5.523990886727559,67.31,97.44
61,5.520318095217046,66.47,97.2
62,5.517903726125501,66.89,97.36
63,5.517683324125624,67.7,97.39
64,5.516532976602771,67.4,97.47
65,5.516023847245679,67.25,97.15
66,5.5108068063087075,67.25,97.28
67,5.510131300110178,68.06,97.42
68,5.5166969741742635,68.24,97.41
69,5.5068188745950915,68.43,97.54
70,5.5090516867096895,68.54,97.43
71,5.50459799815699,68.31,97.44
72,5.504638607968989,67.96,97.43
73,5.501222074646311,69.26,97.53
74,5.499943428432818,68.43,97.3
75,5.501984507767196,68.47,97.58
76,5.5036181666187405,68.47999999999999,97.5
77,5.498654144326436,69.31,97.71
78,5.4990544368311305,69.69,97.41
79,5.49085683429364,69.41000000000001,97.48
80,5.500388632115629,69.69999999999999,97.68
81,5.496987549300046,69.59,97.39999999999999
82,5.494090350632815,69.55,97.44
83,5.490767066011724,69.99,97.48
84,5.489368207675895,69.71000000000001,97.65
85,5.487731068404679,70.67999999999999,97.67
86,5.486319763144267,70.33,97.7
87,5.4895925669326,70.55,97.53
88,5.489075542725239,70.78,97.67
89,5.489029058476084,70.97,97.82
90,5.486416098997765,70.58,97.77
91,5.48705541473074,70.37,97.81
92,5.48312975205097,70.33,97.61999999999999
93,5.486289343883082,70.33,97.58
94,5.481198423916531,70.88,97.76
95,5.482050128818787,70.56,97.71
96,5.477856734364303,70.88,97.81
97,5.476141762487667,70.66,97.76
98,5.480121317598009,70.34,97.63
99,5.479376330818098,71.06,97.84
100,5.479320191845451,71.63000000000001,97.84
