epoch,train_loss,test_acc@1,test_acc@5
1,6.069303395197942,41.19,88.74
2,5.915367681552202,42.17,89.29
3,5.864012356293507,43.75,90.55
4,5.828886951544346,43.71,90.73
5,5.807964026622283,45.08,91.67
6,5.787946468744522,46.54,92.46
7,5.768265817104242,47.64,92.52
8,5.75621294608483,47.74,92.95
9,5.7479259393154045,48.65,93.28
10,5.73721127143273,49.47,93.24
11,5.731326787899702,48.96,93.53
12,5.72666514470027,48.52,93.44
13,5.718270382514366,49.81,93.46
14,5.716512873233893,49.95,93.86
15,5.712466083428798,49.88,93.66
16,5.7032348828438,48.949999999999996,93.47999999999999
17,5.701363331232315,49.21,93.32000000000001
18,5.700169612199832,49.78,93.46
19,5.693122401604286,49.82,93.4
20,5.696181258177146,50.1,93.37
21,5.6893502651116785,49.7,93.64
22,5.687276791303586,50.4,93.72
23,5.6824798094920626,49.95,93.71000000000001
24,5.679550547477526,49.769999999999996,93.74
25,5.680915888761863,49.66,93.81
26,5.677389621734619,49.419999999999995,93.64
27,5.674927195524558,50.21,93.84
28,5.670813790345803,51.129999999999995,93.77
29,5.671688165420141,50.92,93.92
30,5.670304672534649,50.2,93.47
31,5.668817075093587,50.88,94.12
32,5.668204975128174,50.93,94.3
33,5.6662042519985105,50.839999999999996,93.92
34,5.663505184956086,50.980000000000004,94.27
35,5.659919093205379,50.839999999999996,93.94
36,5.660041530315692,50.09,93.99
37,5.658591727721386,50.88,94.06
38,5.657825198540321,50.72,94.1
39,5.6562036612094975,51.11,94.27
40,5.6545972604017996,50.96000000000001,94.14
41,5.656191092271071,50.72,94.28
42,5.652101998451428,51.01,93.93
43,5.652618376413981,51.39,94.31
44,5.650634342584855,50.56,94.19999999999999
45,5.648965938274677,50.94,94.17999999999999
46,5.648818732530643,51.11,94.24
47,5.6477823770963225,51.39,93.92
48,5.648073152395395,50.949999999999996,94.06
49,5.645080140920785,51.18000000000001,94.3
50,5.645328022883489,51.27,94.17999999999999
51,5.6476025752532175,50.690000000000005,94.33
52,5.64455227240538,50.99,94.24
53,5.644477142431797,50.36000000000001,94.1
54,5.6421376961928145,51.71,94.21000000000001
55,5.63929472947732,50.7,94.5
56,5.638437058375432,51.239999999999995,94.25
57,5.641689679561517,51.2,94.03
58,5.638400170741937,50.96000000000001,94.02000000000001
59,5.6371443895193245,51.4,94.39
60,5.638610954773732,51.629999999999995,94.55
61,5.636941811977288,51.42,94.34
62,5.638224391448192,51.15,94.38
63,5.637025094643617,50.160000000000004,94.28999999999999
64,5.634655928000425,52.12,94.31
65,5.6340033360016655,50.74999999999999,94.23
66,5.63216517277253,51.15,94.52000000000001
67,5.634189385634202,51.28,94.56
68,5.633061399215307,51.29,94.43
69,5.629354266631298,51.57000000000001,94.67
70,5.627592270190899,51.239999999999995,94.55
71,5.6324997706291,51.76,94.66
72,5.6311265749809065,51.39,94.49
73,5.62839566499759,51.480000000000004,94.35
74,5.629300926893185,51.81,94.32000000000001
75,5.627973969777425,51.03,94.53
76,5.629379436297294,51.81,94.38
77,5.628523122347318,51.83,94.42
78,5.627138397021171,51.580000000000005,94.56
79,5.627593522194104,51.239999999999995,94.52000000000001
80,5.627158964597262,51.12,94.39999999999999
81,5.625682520255064,51.67,94.32000000000001
82,5.624063645876371,52.07000000000001,94.64
83,5.621887769454565,51.88,94.69
84,5.624357304206261,51.94,94.61
85,5.622148044292743,50.68,94.14
86,5.625862314762213,51.92,94.74000000000001
87,5.6228725286630485,51.76,94.45
88,5.622121561490572,52.190000000000005,94.47
89,5.620300772251227,51.33,94.69999999999999
90,5.620096734853891,51.54,94.51
91,5.62034937785222,51.01,94.23
92,5.619516455821502,51.83,94.74000000000001
93,5.6233017481290375,52.28,94.51
94,5.622079553359594,51.129999999999995,94.76
95,5.620961737021422,50.949999999999996,94.65
96,5.619190905644343,51.57000000000001,94.78999999999999
97,5.620269572429168,51.07000000000001,94.44
98,5.618746173076141,52.0,94.67999999999999
99,5.620868915166611,51.480000000000004,94.69
100,5.619086292462471,51.03,94.71000000000001
